,raceId,driverId,constructorId,grid,positionOrder,statusId,constructorForm,year,constructorPower
2131,122,2,15,13,5,1,1.5268514086339717,2003.0,1.5268514086339717
2132,122,15,4,10,4,1,1.8268815547508408,2003.0,1.8268815547508408
2133,122,4,4,6,\N,5,1.8268815547508408,2003.0,1.8268815547508408
2134,122,31,3,4,6,11,3.0562390832933315,2003.0,3.0562390832933315
2135,122,23,3,5,\N,3,3.0562390832933315,2003.0,3.0562390832933315
2136,122,21,17,17,7,11,0.8505550881170205,2003.0,1.3043673819053694
2137,122,52,17,18,\N,20,0.8505550881170205,2003.0,1.3043673819053694
2138,122,51,19,16,8,12,1.1276580727581926,2003.0,1.1276580727581926
2139,122,17,19,14,\N,3,1.1276580727581926,2003.0,1.1276580727581926
2140,122,43,7,9,9,12,0.9797621139807148,2003.0,0.7333619496011154
2141,122,44,7,3,\N,3,0.9797621139807148,2003.0,0.7333619496011154
2142,122,50,18,19,10,14,0.7333619496011154,2003.0,0.8505550881170205
2143,122,53,18,20,11,14,0.7333619496011154,2003.0,0.8505550881170205
2144,122,35,16,12,\N,5,1.3043673819053694,2003.0,0.9797621139807148
2145,122,18,16,11,\N,5,1.3043673819053694,2003.0,0.9797621139807148
2146,123,22,6,1,1,1,5.000164300340007,2003.0,5.000164300340007
2147,123,30,6,14,8,1,5.000164300340007,2003.0,5.000164300340007
2148,123,8,1,8,2,1,2.273518167203879,2003.0,2.273518167203879
2149,123,14,1,7,3,1,2.273518167203879,2003.0,2.273518167203879
2150,123,18,16,9,4,1,1.5268514086339717,2003.0,0.9797621139807148
2151,123,11,16,13,6,1,1.5268514086339717,2003.0,0.9797621139807148
2152,123,15,4,20,5,1,1.8268815547508408,2003.0,1.8268815547508408
2153,123,4,4,5,\N,5,1.8268815547508408,2003.0,1.8268815547508408
2154,123,43,7,3,7,1,0.9797621139807148,2003.0,0.7333619496011154
2155,123,44,7,4,10,1,0.9797621139807148,2003.0,0.7333619496011154
2156,123,2,15,11,9,1,1.3043673819053694,2003.0,1.5268514086339717
2157,123,49,15,12,\N,5,1.3043673819053694,2003.0,1.5268514086339717
2158,123,17,19,6,11,1,1.1276580727581926,2003.0,1.1276580727581926
2159,123,51,19,10,13,11,1.1276580727581926,2003.0,1.1276580727581926
2160,123,23,3,19,12,11,3.0562390832933315,2003.0,3.0562390832933315
