,raceId,driverId,constructorId,grid,position,statusId,constructorForm,driverPerformance
345,35,5,1,5,7,1,3.0562390832933315,0.6718028788374669
346,35,10,7,10,6,1,1.5268514086339717,0.6660303270995062
347,35,15,7,2,8,1,1.5268514086339717,0.8097947334872667
348,35,17,9,12,9,1,1.1276580727581926,0.8764315055899328
349,35,14,9,14,\N,4,1.1276580727581926,0.6249115188328095
350,35,2,2,8,10,11,2.273518167203879,0.6676629893456778
351,35,9,2,13,11,11,2.273518167203879,0.8074330709275785
352,35,3,3,18,12,11,0.9797621139807148,0.8311142272021208
353,35,6,3,16,17,12,0.9797621139807148,0.6519296024374135
354,35,18,11,17,13,11,0.8505550881170205,0.7363005973392479
355,35,22,11,15,15,11,0.8505550881170205,0.7258906644095623
356,35,16,10,20,16,12,0.7333619496011154,0.68829688181067
357,35,21,10,19,18,12,0.7333619496011154,0.7794315486923582
358,36,8,6,1,1,1,5.000164300340007,0.9988039092590283
359,36,13,6,22,6,1,5.000164300340007,0.5370926355498303
360,36,4,1,2,2,1,0.6232802959048005,0.7910059984038539
361,36,1,1,4,3,1,0.6232802959048005,0.6794651201920797
362,36,2,2,3,4,1,3.0562390832933315,0.9961656640692799
363,36,9,2,5,\N,6,3.0562390832933315,0.5448438740423774
364,36,21,4,6,5,1,2.273518167203879,0.958450338568484
365,36,5,4,13,10,11,2.273518167203879,0.5789905357400984
366,36,3,3,12,7,11,1.8268815547508408,0.9780651231545899
367,36,25,3,15,\N,4,1.8268815547508408,0.5654550108543672
368,36,23,7,9,8,11,1.5268514086339717,0.7310585786300049
369,36,15,7,8,9,11,1.5268514086339717,0.7310585786300049
370,36,22,11,16,11,11,1.3043673819053694,0.7502601055951177
371,36,18,11,14,15,11,1.3043673819053694,0.7128140986174973
372,36,11,8,10,12,11,1.1276580727581926,0.833482181177255
373,36,19,8,11,16,12,1.1276580727581926,0.6504280601084498
374,36,17,9,7,13,11,0.9797621139807148,0.9961656640692799
375,36,14,9,18,\N,4,0.9797621139807148,0.5448438740423774
376,36,24,5,19,14,11,0.8505550881170205,0.833482181177255
377,36,26,5,17,\N,29,0.8505550881170205,0.6504280601084498
378,36,16,12,20,17,12,0.7333619496011154,0.8546516892561985
379,36,27,12,21,\N,3,0.7333619496011154,0.6374870880727223
380,37,4,1,2,1,1,0.6232802959048005,0.7910059984038539
381,37,1,1,4,2,1,0.6232802959048005,0.6794651201920797
